nodes;channels;topology;policy;TSR;ASD_s;LLR;DP
10;2;full;weighted;0.1597;0.376;0.5901;0.0062
10;2;line;weighted;0.1242;0.3814;0.5989;0.025
10;2;ring;weighted;0.142;0.3787;0.5945;0.0124
10;2;star;weighted;0.1561;0.3766;0.591;0.0099
10;8;full;weighted;0.3866;0.342;0.6533;0.0048
10;8;line;weighted;0.3007;0.3549;0.6748;0.0199
10;8;ring;weighted;0.3437;0.3484;0.6641;0.0098
10;8;star;weighted;0.378;0.3433;0.6555;0.0077
10;14;full;weighted;0.6136;0.308;0.7166;0.0036
10;14;line;weighted;0.4772;0.3284;0.7507;0.0154
10;14;ring;weighted;0.5454;0.3182;0.7337;0.0074
10;14;star;weighted;0.5999;0.31;0.72;0.0058
10;20;full;weighted;0.8405;0.2739;0.7799;0.0025
10;20;line;weighted;0.6537;0.3019;0.8266;0.0114
10;20;ring;weighted;0.7471;0.2879;0.8032;0.0054
10;20;star;weighted;0.8218;0.2767;0.7845;0.0041
